entry,at,order
"-- ending hand #2 --",2021-08-06T16:21:24.292Z,162826688429202
"""ZayZay @ 6qGmhA5z2u"" collected 15.00 from pot",2021-08-06T16:21:24.292Z,162826688429201
"Uncalled bet of 13.00 returned to ""ZayZay @ 6qGmhA5z2u""",2021-08-06T16:21:24.292Z,162826688429200
"""ias01 @ TtdC_BCbu0"" folds",2021-08-06T16:21:23.486Z,162826688348600
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T16:21:22.646Z,162826688264600
"""drflesh @ pwnoCjay-s"" folds",2021-08-06T16:21:21.782Z,162826688178200
"""ZayZay @ 6qGmhA5z2u"" raises to 19.00",2021-08-06T16:21:00.902Z,162826686090200
"""BOOST @ pU1r_12Vbu"" folds",2021-08-06T16:20:47.295Z,162826684729500
"""ias01 @ TtdC_BCbu0"" raises to 6.00",2021-08-06T16:20:43.119Z,162826684311900
"""willie @ dZR2-4Ha6e"" folds",2021-08-06T16:20:40.202Z,162826684020200
"""bubbles @ rYQPN15HQa"" posts a big blind of 2.00",2021-08-06T16:20:38.903Z,162826683890310
"""drflesh @ pwnoCjay-s"" posts a small blind of 1.00",2021-08-06T16:20:38.903Z,162826683890309
"Player stacks: #1 ""willie @ dZR2-4Ha6e"" (39.00) | #2 ""ias01 @ TtdC_BCbu0"" (300.00) | #3 ""BOOST @ pU1r_12Vbu"" (214.00) | #4 ""ZayZay @ 6qGmhA5z2u"" (299.00) | #5 ""drflesh @ pwnoCjay-s"" (298.00) | #10 ""bubbles @ rYQPN15HQa"" (220.00)",2021-08-06T16:20:38.903Z,162826683890302
"-- starting hand #2  (No Limit Texas Hold'em) (dealer: ""ZayZay @ 6qGmhA5z2u"") --",2021-08-06T16:20:38.903Z,162826683890301
