entry,at,order
"-- ending hand #70 --",2021-08-06T17:27:59.713Z,162827087971302
"""sneakers @ P4t9Uuig11"" collected 139.00 from pot with Straight, 8 High (combination: 8♦, 7♦, 6♥, 5♠, 4♣)",2021-08-06T17:27:59.713Z,162827087971301
"""sneakers @ P4t9Uuig11"" collected 272.25 from pot with Straight, 8 High (combination: 8♦, 7♦, 6♥, 5♠, 4♣)",2021-08-06T17:27:59.713Z,162827087971300
"River: 5♠, 5♦, 8♦, 6♥ [4♣]",2021-08-06T17:27:55.688Z,162827087568800
"Turn: 5♠, 5♦, 8♦ [6♥]",2021-08-06T17:27:51.647Z,162827087164700
"Flop:  [5♠, 5♦, 8♦]",2021-08-06T17:27:47.642Z,162827086764200
"""June @ zwCW3GNSpN"" shows a A♣, J♥.",2021-08-06T17:27:43.625Z,162827086362502
"""sneakers @ P4t9Uuig11"" shows a 7♦, 7♥.",2021-08-06T17:27:43.625Z,162827086362501
"""drflesh @ pwnoCjay-s"" shows a K♥, K♦.",2021-08-06T17:27:43.625Z,162827086362500
"""June @ zwCW3GNSpN"" shows a A♣, J♥.",2021-08-06T17:27:43.238Z,162827086323800
"Some players choose to not run it twice.",2021-08-06T17:27:42.807Z,162827086280701
"""drflesh @ pwnoCjay-s"" chooses to not run it twice.",2021-08-06T17:27:42.807Z,162827086280700
"""sneakers @ P4t9Uuig11"" chooses to  run it twice.",2021-08-06T17:27:42.604Z,162827086260400
"Remaining players decide whether to run it twice.",2021-08-06T17:27:41.661Z,162827086166101
"""drflesh @ pwnoCjay-s"" calls 157.25",2021-08-06T17:27:41.661Z,162827086166100
"""sneakers @ P4t9Uuig11"" raises to 157.25 and go all in",2021-08-06T17:27:40.821Z,162827086082100
"""drflesh @ pwnoCjay-s"" calls 87.75",2021-08-06T17:27:16.837Z,162827083683700
"""ZayZay @ 6qGmhA5z2u"" folds",2021-08-06T17:27:10.786Z,162827083078600
"""BOOST @ pU1r_12Vbu"" folds",2021-08-06T17:27:06.658Z,162827082665800
"""ias01 @ TtdC_BCbu0"" folds",2021-08-06T17:27:05.796Z,162827082579600
"""willie @ dZR2-4Ha6e"" folds",2021-08-06T17:26:55.904Z,162827081590400
"""bubbles @ rYQPN15HQa"" folds",2021-08-06T17:26:54.977Z,162827081497700
"""moosh @ BbPu85ru25"" folds",2021-08-06T17:26:54.119Z,162827081411900
"""June @ zwCW3GNSpN"" raises to 87.75 and go all in",2021-08-06T17:26:53.258Z,162827081325800
"""sneakers @ P4t9Uuig11"" calls 18.00",2021-08-06T17:26:50.661Z,162827081066100
"""drflesh @ pwnoCjay-s"" raises to 18.00",2021-08-06T17:26:48.515Z,162827080851500
"""ZayZay @ 6qGmhA5z2u"" raises to 6.00",2021-08-06T17:26:44.647Z,162827080464700
"""BOOST @ pU1r_12Vbu"" posts a big blind of 2.00",2021-08-06T17:26:40.847Z,162827080084712
"""ias01 @ TtdC_BCbu0"" posts a small blind of 1.00",2021-08-06T17:26:40.847Z,162827080084711
"Player stacks: #1 ""willie @ dZR2-4Ha6e"" (154.00) | #2 ""ias01 @ TtdC_BCbu0"" (145.25) | #3 ""BOOST @ pU1r_12Vbu"" (387.00) | #4 ""ZayZay @ 6qGmhA5z2u"" (346.25) | #5 ""drflesh @ pwnoCjay-s"" (284.00) | #6 ""sneakers @ P4t9Uuig11"" (157.25) | #8 ""June @ zwCW3GNSpN"" (87.75) | #9 ""moosh @ BbPu85ru25"" (201.00) | #10 ""bubbles @ rYQPN15HQa"" (407.50)",2021-08-06T17:26:40.847Z,162827080084701
"-- starting hand #70  (No Limit Texas Hold'em) (dealer: ""willie @ dZR2-4Ha6e"") --",2021-08-06T17:26:40.847Z,162827080084700
