entry,at,order
"-- ending hand #48 --",2021-08-30T01:41:19.067Z,163028767906702
"""ben @ li0n-OAYVm"" collected 1.67 from pot with Three of a Kind, 8's on the second run  (combination: 8♠, 8♥, 8♣, K♠, 7♣)",2021-08-30T01:41:19.067Z,163028767906701
"""ben @ li0n-OAYVm"" collected 1.67 from pot with Three of a Kind, 8's (combination: 8♠, 8♥, 8♣, K♠, 10♣)",2021-08-30T01:41:19.067Z,163028767906700
"River (second run): 8♣, 6♣, 3♣, K♠ [7♣]",2021-08-30T01:41:15.045Z,163028767504500
"River: 8♣, 6♣, 3♣, K♠ [10♣]",2021-08-30T01:41:11.021Z,163028767102100
"""Madison @ 0aXb_7_xTB"" shows a 6♥, A♦.",2021-08-30T01:41:07.003Z,163028766700301
"""ben @ li0n-OAYVm"" shows a 8♠, 8♥.",2021-08-30T01:41:07.003Z,163028766700300
"All players in hand choose to run it twice.",2021-08-30T01:41:06.192Z,163028766619201
"""Madison @ 0aXb_7_xTB"" chooses to  run it twice.",2021-08-30T01:41:06.192Z,163028766619200
"""ben @ li0n-OAYVm"" chooses to  run it twice.",2021-08-30T01:40:56.526Z,163028765652600
"Remaining players decide whether to run it twice.",2021-08-30T01:40:56.479Z,163028765647901
"""Madison @ 0aXb_7_xTB"" calls 0.23 and go all in",2021-08-30T01:40:56.479Z,163028765647900
"""ben @ li0n-OAYVm"" bets 0.23",2021-08-30T01:40:49.733Z,163028764973300
"""Madison @ 0aXb_7_xTB"" checks",2021-08-30T01:40:43.950Z,163028764395000
"Turn: 8♣, 6♣, 3♣ [K♠]",2021-08-30T01:40:39.337Z,163028763933700
"""ben @ li0n-OAYVm"" calls 0.69",2021-08-30T01:40:38.528Z,163028763852800
"""Madison @ 0aXb_7_xTB"" bets 0.69",2021-08-30T01:40:34.490Z,163028763449000
"Flop:  [8♣, 6♣, 3♣]",2021-08-30T01:40:26.851Z,163028762685100
"""ElitenessPhil @ j2MPOsr78j"" folds",2021-08-30T01:40:26.045Z,163028762604500
"""Jumbo @ eTmzZ-mj1K"" folds",2021-08-30T01:40:25.193Z,163028762519300
"""Madison @ 0aXb_7_xTB"" calls 0.65",2021-08-30T01:40:12.237Z,163028761223700
"""ben @ li0n-OAYVm"" raises to 0.65",2021-08-30T01:39:58.810Z,163028759881000
"""ElitenessPhil @ j2MPOsr78j"" calls 0.10",2021-08-30T01:39:50.678Z,163028759067800
"""alsoben @ 45sBk0_K8w"" folds",2021-08-30T01:39:47.931Z,163028758793100
"""Jumbo @ eTmzZ-mj1K"" posts a big blind of 0.10",2021-08-30T01:39:28.292Z,163028756829208
"""Madison @ 0aXb_7_xTB"" posts a small blind of 0.05",2021-08-30T01:39:28.292Z,163028756829207
"Your hand is 8♠, 8♥",2021-08-30T01:39:28.292Z,163028756829202
"Player stacks: #1 ""ben @ li0n-OAYVm"" (24.08) | #4 ""Madison @ 0aXb_7_xTB"" (1.57) | #5 ""Jumbo @ eTmzZ-mj1K"" (14.67) | #6 ""alsoben @ 45sBk0_K8w"" (14.13) | #9 ""ElitenessPhil @ j2MPOsr78j"" (10.71)",2021-08-30T01:39:28.292Z,163028756829201
"-- starting hand #48  (No Limit Texas Hold'em) (dealer: ""ben @ li0n-OAYVm"") --",2021-08-30T01:39:28.292Z,16302875682920
"-- ending hand #31 --",2021-08-30T01:17:17.704Z,163028623770401
"""pack2loud @ dIFWqyUROl"" collected 2.27 from pot with Two Pair, A's & 6's (combination: A♥, A♠, 6♣, 6♦, 10♥)",2021-08-30T01:17:17.704Z,163028623770400
"River: 8♠, 6♣, 4♠, A♠ [6♦]",2021-08-30T01:17:13.683Z,163028623368300
"Turn: 8♠, 6♣, 4♠ [A♠]",2021-08-30T01:17:09.666Z,163028622966600
"Flop:  [8♠, 6♣, 4♠]",2021-08-30T01:17:05.634Z,163028622563400
"""Madison @ 0aXb_7_xTB"" shows a 10♣, 4♣.",2021-08-30T01:17:01.584Z,163028622158401
"""pack2loud @ dIFWqyUROl"" shows a A♥, 10♥.",2021-08-30T01:17:01.584Z,163028622158400
"Some players choose to not run it twice.",2021-08-30T01:17:00.772Z,163028622077201
"""Madison @ 0aXb_7_xTB"" chooses to not run it twice.",2021-08-30T01:17:00.772Z,163028622077200
"""pack2loud @ dIFWqyUROl"" chooses to  run it twice.",2021-08-30T01:17:00.451Z,163028622045100
"Remaining players decide whether to run it twice.",2021-08-30T01:16:57.529Z,163028621752901
"""ElitenessPhil @ j2MPOsr78j"" folds",2021-08-30T01:16:57.529Z,163028621752900
"""Madison @ 0aXb_7_xTB"" calls 1.06",2021-08-30T01:16:55.916Z,163028621591600
"""pack2loud @ dIFWqyUROl"" raises to 1.06 and go all in",2021-08-30T01:16:51.381Z,163028621138100
"""ben @ li0n-OAYVm"" folds",2021-08-30T01:16:46.969Z,163028620696900
"""ElitenessPhil @ j2MPOsr78j"" calls 0.10",2021-08-30T01:16:40.057Z,163028620005700
"""alsoben @ 45sBk0_K8w"" folds",2021-08-30T01:16:37.972Z,163028619797200
"""Jumbo @ eTmzZ-mj1K"" folds",2021-08-30T01:16:33.656Z,163028619365600
"""Madison @ 0aXb_7_xTB"" calls 0.10",2021-08-30T01:16:24.540Z,163028618454000
"""pack2loud @ dIFWqyUROl"" posts a big blind of 0.10",2021-08-30T01:16:21.362Z,163028618136209
"""ben @ li0n-OAYVm"" posts a small blind of 0.05",2021-08-30T01:16:21.362Z,163028618136208
"Your hand is 3♣, 9♥",2021-08-30T01:16:21.362Z,163028618136202
"Player stacks: #1 ""ben @ li0n-OAYVm"" (24.50) | #3 ""pack2loud @ dIFWqyUROl"" (1.06) | #4 ""Madison @ 0aXb_7_xTB"" (2.97) | #5 ""Jumbo @ eTmzZ-mj1K"" (14.93) | #6 ""alsoben @ 45sBk0_K8w"" (15.61) | #9 ""ElitenessPhil @ j2MPOsr78j"" (6.09)",2021-08-30T01:16:21.362Z,163028618136201
"-- starting hand #31  (No Limit Texas Hold'em) (dealer: ""ElitenessPhil @ j2MPOsr78j"") --",2021-08-30T01:16:21.362Z,163028618136200
"-- ending hand #30 --",2021-08-30T01:16:13.353Z,163028617335302
"""alsoben @ 45sBk0_K8w"" collected 7.80 from pot with Pair, K's on the second run  (combination: K♥, K♣, J♠, 8♦, 4♦)",2021-08-30T01:16:13.353Z,163028617335301
"""alsoben @ 45sBk0_K8w"" collected 7.81 from pot with Pair, K's (combination: K♥, K♣, J♠, 9♠, 8♦)",2021-08-30T01:16:13.353Z,163028617335300
